time,P,Ta,Tamin,Tamax,RH,d2hP,lai_0,lai_1,lai_2,lai_3,PET
2019-06-01,0.0,293.95,288.04999999999995,300.34999999999997,0.66765,-20.667428571428573,2.0757992565055763,2.8213636363636363,2.8186844795539034,4.552083333333334,0.005405395140652918
2019-06-02,0.0,295.65,288.04999999999995,302.54999999999995,0.6634285714285714,-24.03228571428572,2.092193308550186,2.901818181818182,2.86953531598513,4.683333333333334,0.00603905737393892
2019-06-03,0.0,298.34999999999997,290.54999999999995,305.45,0.63825,-27.39714285714286,2.0697769516728624,2.839772727272728,2.8275938661710036,4.595833333333333,0.006723728691123368
2019-06-04,0.0,297.04999999999995,288.84999999999997,303.75,0.6240285714285714,-30.762,2.047360594795539,2.777727272727273,2.785652416356877,4.508333333333334,0.006482852918581929
2019-06-05,0.0,299.34999999999997,293.34999999999997,304.95,0.59075,-38.085,2.024944237918216,2.7156818181818183,2.743710966542751,4.420833333333333,0.006672443830502363
2019-06-06,0.0070999999999999995,294.95,287.84999999999997,304.25,0.5924142857142858,-45.408,2.0025278810408924,2.653636363636364,2.701769516728625,4.333333333333334,0.006696561500332983
2019-06-07,0.0,292.45,287.34999999999997,298.04999999999995,0.6004785714285714,-43.5746,1.980111524163569,2.5915909090909093,2.659828066914498,4.245833333333334,0.005267479230213857
2019-06-08,0.0,291.25,285.95,295.45,0.5908357142857144,-41.7412,1.9576951672862453,2.5295454545454548,2.617886617100372,4.158333333333334,0.0055847389265749284
2019-06-09,0.0,292.84999999999997,284.34999999999997,299.25,0.5797357142857144,-39.9078,1.9352788104089225,2.4675,2.575945167286246,4.070833333333334,0.006245366803604777
2019-06-10,0.0182,296.54999999999995,289.54999999999995,302.65,0.5690500000000001,-38.0744,1.9128624535315988,2.4054545454545457,2.5340037174721193,3.983333333333334,0.006476732494801846
2019-06-11,0.0,296.34999999999997,289.54999999999995,302.84999999999997,0.5703,-36.241,1.8708178438661711,2.382272727272728,2.52394749070632,4.047916666666668,0.0064772833905183775
2019-06-12,0.0009,296.84999999999997,289.34999999999997,306.54999999999995,0.574442857142857,-3.3870000000000005,1.828773234200744,2.3590909090909093,2.513891263940521,4.112500000000001,0.007200053526991434
2019-06-13,0.0001,292.84999999999997,288.04999999999995,298.75,0.5867071428571429,29.467,1.786728624535316,2.335909090909091,2.503835037174721,4.177083333333334,0.0052782767099879176
2019-06-14,0.0008,296.84999999999997,288.15,302.95,0.5743,10.922,1.7446840148698883,2.312727272727273,2.493778810408922,4.241666666666667,0.006959750232815467
2019-06-15,0.0,299.04999999999995,292.34999999999997,306.15,0.5675142857142856,-7.623,1.7026394052044609,2.289545454545455,2.4837225836431225,4.30625,0.007747549956187603
2019-06-16,0.0,291.84999999999997,287.25,296.04999999999995,0.5754571428571428,-22.108,1.6605947955390332,2.2663636363636366,2.473666356877323,4.370833333333334,0.0052415644193667815
2019-06-17,0.0001,293.75,286.45,299.75,0.5848571428571429,-36.593,1.6185501858736058,2.243181818181818,2.463610130111524,4.435416666666667,0.005856496353378527
2019-06-18,0.0,296.84999999999997,289.95,302.54999999999995,0.5784571428571429,-51.078,1.576505576208178,2.22,2.4535539033457248,4.5,0.006670772201634639
2019-06-19,0.0,298.15,290.95,305.04999999999995,0.5797714285714285,-47.41066666666667,1.5221933085501855,2.187954545454545,2.4005353159851297,4.45,0.006929839399751359
2019-06-20,0.0351,294.65,287.84999999999997,300.34999999999997,0.5818214285714286,-43.74333333333333,1.4678810408921932,2.155909090909091,2.3475167286245355,4.4,0.006072561326711604
2019-06-21,0.0,292.65,288.15,298.04999999999995,0.5848285714285715,-40.076,1.4135687732342006,2.1238636363636365,2.2944981412639405,4.3500000000000005,0.005312902681944799
2019-06-22,0.0,293.54999999999995,287.15,299.04999999999995,0.5876571428571429,-39.70026666666666,1.3592565055762085,2.091818181818182,2.2414795539033463,4.300000000000001,0.005814218661834167
2019-06-23,0.0,294.15,286.34999999999997,300.54999999999995,0.5929857142857142,-39.324533333333335,1.3049442379182157,2.0597727272727275,2.188460966542751,4.25,0.006341743333359527
2019-06-24,0.0,296.45,289.75,302.45,0.5853357142857143,-38.9488,1.250631970260223,2.027727272727273,2.135442379182156,4.2,0.006522726413338999
2019-06-25,0.0,300.04999999999995,292.65,306.34999999999997,0.5628357142857143,-38.57306666666667,1.1963197026022303,1.995681818181818,2.082423791821561,4.15,0.007364523499035887
2019-06-26,0.0,302.25,295.34999999999997,308.95,0.5520857142857143,-38.19733333333333,1.1420074349442382,1.963636363636364,2.029405204460967,4.1000000000000005,0.00796658657853786
2019-06-27,0.0,293.54999999999995,288.65,298.15,0.5444357142857144,-37.8216,1.1276208178438665,1.9234090909090908,2.0112095724907064,4.072916666666667,0.0059470819083508215
2019-06-28,0.0,291.34999999999997,285.25,297.45,0.5533928571428572,-37.44586666666667,1.1132342007434946,1.8831818181818183,1.9930139405204463,4.045833333333334,0.005627646442198312
2019-06-29,0.0,295.95,287.04999999999995,303.45,0.5466071428571428,-37.07013333333333,1.0988475836431228,1.8429545454545453,1.9748183085501863,4.018750000000001,0.006855243872436837
2019-06-30,0.0,301.65,290.65,310.04999999999995,0.5260142857142858,-36.6944,1.0844609665427511,1.8027272727272727,1.9566226765799257,3.991666666666667,0.00904134814971475
2019-07-01,0.0008,295.54999999999995,291.04999999999995,301.04999999999995,0.5185142857142857,-36.318666666666665,1.0700743494423794,1.7625000000000002,1.9384270446096656,3.9645833333333336,0.00631769451139578
2019-07-02,0.0,290.84999999999997,284.15,295.15,0.5241071428571429,-35.94293333333333,1.0556877323420075,1.7222727272727274,1.920231412639405,3.9375,0.006205183816983277
2019-07-03,0.0,288.04999999999995,281.84999999999997,292.65,0.5303857142857143,-35.5672,1.0413011152416358,1.6820454545454546,1.9020357806691452,3.9104166666666673,0.005251110550558
2019-07-04,0.0,289.75,282.54999999999995,295.45,0.5154785714285715,-35.19146666666666,1.026914498141264,1.641818181818182,1.8838401486988847,3.8833333333333337,0.00589170410252135
2019-07-05,0.0,291.15,287.04999999999995,294.15,0.5061071428571429,-34.815733333333334,1.0496654275092938,1.645227272727273,1.8935157992565057,3.8625,0.005279365093530247
2019-07-06,0.0063,291.45,286.25,297.54999999999995,0.5141714285714286,-34.44,1.0724163568773235,1.648636363636364,1.9031914498141265,3.841666666666667,0.005580815411887888
2019-07-07,0.0,287.84999999999997,284.34999999999997,291.95,0.5252428571428571,-38.7045,1.0951672862453532,1.6520454545454548,1.9128671003717472,3.8208333333333337,0.0046657869530857335
2019-07-08,0.0001,287.25,284.04999999999995,290.84999999999997,0.5419428571428571,-42.969,1.1179182156133831,1.6554545454545455,1.922542750929368,3.8,0.004342995278200041
2019-07-09,0.0,287.34999999999997,282.95,291.95,0.5586142857142857,-42.5955,1.1406691449814128,1.6588636363636364,1.932218401486989,3.779166666666667,0.00459835705021778
2019-07-10,0.0,288.65,283.15,294.84999999999997,0.5737642857142857,-42.222,1.1634200743494425,1.6622727272727271,1.94189405204461,3.7583333333333337,0.0051057105798890685
2019-07-11,0.0055,291.54999999999995,283.75,297.84999999999997,0.5777857142857143,-48.064,1.1861710037174722,1.6656818181818185,1.9515697026022303,3.7375,0.005716076208946809
2019-07-12,0.0106,290.25,288.54999999999995,294.04999999999995,0.5949,-53.906,1.208921933085502,1.6690909090909092,1.9612453531598515,3.716666666666667,0.003542458320447704
2019-07-13,0.001,291.15,287.15,297.15,0.6190071428571429,-84.104,1.280297397769517,1.7529545454545457,2.016208178438662,3.733333333333333,0.00468718138594682
2019-07-14,0.0025,289.75,286.04999999999995,294.04999999999995,0.6520999999999999,-50.094,1.3516728624535317,1.836818181818182,2.071171003717472,3.75,0.004253838225764074
2019-07-15,0.0,288.75,287.84999999999997,289.54999999999995,0.6686785714285715,-34.17,1.4230483271375465,1.9206818181818184,2.1261338289962826,3.7666666666666666,0.002584033196516719
2019-07-16,0.0,289.15,286.34999999999997,292.65,0.6823999999999999,-18.246,1.4944237918215617,2.004545454545455,2.181096654275093,3.783333333333333,0.003844263531501615
2019-07-17,0.0,290.25,284.65,296.84999999999997,0.6903785714285714,-25.54225,1.5657992565055765,2.088409090909092,2.2360594795539033,3.8,0.004768937200539437
